21:50::34 [init] AGV: 1 Online
21:50::34 [init] Mac: 1234567809
21:50::34 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
21:54::27 [recv] pos:(5079,13961,0)
21:54::28 [recv] pos:(5079,13961,0)
21:54::28 [recv] pos:(5079,13961,0)
21:54::29 [recv] pos:(5079,13961,0)
21:54::29 [recv] pos:(5079,13961,0)
21:54::30 [recv] pos:(5079,13961,0)
21:54::30 [recv] pos:(5079,13961,0)
21:54::31 [recv] pos:(5079,13961,0)
21:54::31 [recv] pos:(5079,13961,0)
21:54::32 [recv] pos:(5079,13961,0)
21:54::32 [recv] pos:(5079,13961,0)
21:54::33 [recv] pos:(5079,13961,0)
21:54::34 [recv] pos:(5079,13961,0)
21:54::34 [recv] pos:(5079,13961,0)
21:54::35 [recv] pos:(5079,13961,0)
21:54::35 [recv] pos:(5079,13961,0)
21:54::36 [recv] pos:(5079,13961,0)
21:54::36 [recv] pos:(5079,13961,0)
21:54::37 [recv] pos:(5079,13961,0)
21:54::37 [recv] pos:(5079,13961,0)
21:54::38 [recv] pos:(5079,13961,0)
21:54::38 [recv] pos:(5079,13961,0)
21:54::39 [recv] pos:(5079,13961,0)
21:54::39 [recv] pos:(5079,13961,0)
21:54::40 [recv] pos:(5079,13961,0)
21:54::40 [recv] pos:(5079,13961,0)
21:54::41 [recv] pos:(5079,13961,0)
21:54::41 [recv] pos:(5079,13961,0)
21:54::42 [recv] pos:(5079,13961,0)
21:54::43 [recv] pos:(5079,13961,0)
21:54::43 [recv] pos:(5079,13961,0)
21:54::44 [recv] pos:(5079,13961,0)
21:54::44 [recv] pos:(5079,13961,0)
21:54::45 [recv] pos:(5079,13961,0)
21:54::45 [recv] pos:(5079,13961,0)
21:54::46 [recv] pos:(5079,13961,0)
21:54::46 [recv] pos:(5079,13961,0)
21:54::47 [recv] pos:(5079,13961,0)
21:54::47 [recv] pos:(5079,13961,0)
21:54::48 [recv] pos:(5079,13961,0)
21:54::48 [recv] pos:(5079,13961,0)
21:54::49 [recv] pos:(5079,13961,0)
21:54::49 [recv] pos:(5079,13961,0)
21:54::50 [recv] pos:(5079,13961,0)
21:54::51 [recv] pos:(5079,13961,0)
21:54::51 [recv] pos:(5079,13961,0)
21:54::52 [recv] pos:(5079,13961,0)
21:54::52 [recv] pos:(5079,13961,0)
21:54::53 [recv] pos:(5079,13961,0)
21:54::53 [recv] pos:(5079,13961,0)
21:54::54 [recv] pos:(5079,13961,0)
21:54::54 [recv] pos:(5079,13961,0)
21:54::55 [recv] pos:(5079,13961,0)
21:54::55 [recv] pos:(5079,13961,0)
21:54::56 [recv] pos:(5079,13961,0)
21:54::56 [recv] pos:(5079,13961,0)
21:54::57 [recv] pos:(5079,13961,0)
21:54::57 [recv] pos:(5079,13961,0)
21:54::58 [recv] pos:(5079,13961,0)
21:54::58 [recv] pos:(5079,13961,0)
21:54::59 [recv] pos:(5079,13961,0)
21:55::00 [recv] pos:(5079,13961,0)
21:55::00 [recv] pos:(5079,13961,0)
21:55::01 [recv] pos:(5079,13961,0)
21:55::01 [recv] pos:(5079,13961,0)
21:55::02 [recv] pos:(5079,13961,0)
21:55::02 [recv] pos:(5079,13961,0)
21:55::03 [recv] pos:(5079,13961,0)
21:55::03 [recv] pos:(5079,13961,0)
21:55::04 [recv] pos:(5079,13961,0)
21:55::04 [recv] pos:(5079,13961,0)
21:55::05 [recv] pos:(5079,13961,0)
21:55::05 [recv] pos:(5079,13961,0)
21:55::06 [recv] pos:(5079,13961,0)
21:55::06 [recv] pos:(5079,13961,0)
21:55::07 [recv] pos:(5079,13961,0)
21:55::08 [recv] pos:(5079,13961,0)
21:55::08 [recv] pos:(5079,13961,0)
21:55::09 [recv] pos:(5079,13961,0)
21:55::09 [recv] pos:(5079,13961,0)
21:55::10 [recv] pos:(5079,13961,0)
21:55::10 [recv] pos:(5079,13961,0)
21:55::11 [recv] pos:(5079,13961,0)
21:55::11 [recv] pos:(5079,13961,0)
21:55::12 [recv] pos:(5079,13961,0)
21:55::12 [recv] pos:(5079,13961,0)
21:55::13 [recv] pos:(5079,13961,0)
21:55::13 [recv] pos:(5079,13961,0)
21:55::14 [recv] pos:(5079,13961,0)
21:55::14 [recv] pos:(5079,13961,0)
21:55::15 [recv] pos:(5079,13961,0)
21:55::15 [recv] pos:(5079,13961,0)
21:55::16 [recv] pos:(5079,13961,0)
21:55::17 [recv] pos:(5079,13961,0)
21:55::17 [recv] pos:(5079,13961,0)
21:55::18 [recv] pos:(5079,13961,0)
21:55::18 [recv] pos:(5079,13961,0)
21:55::19 [recv] pos:(5079,13961,0)
21:55::19 [recv] pos:(5079,13961,0)
21:55::20 [recv] pos:(5079,13961,0)
21:55::20 [recv] pos:(5079,13961,0)
21:55::21 [recv] pos:(5079,13961,0)
21:55::21 [recv] pos:(5079,13961,0)
21:55::22 [recv] pos:(5079,13961,0)
21:55::22 [recv] pos:(5079,13961,0)
21:55::23 [recv] pos:(5079,13961,0)
21:55::23 [recv] pos:(5079,13961,0)
21:55::24 [recv] pos:(5079,13961,0)
21:55::25 [recv] pos:(5079,13961,0)
21:55::25 [recv] pos:(5079,13961,0)
21:55::26 [recv] pos:(5079,13961,0)
21:55::26 [recv] pos:(5079,13961,0)
21:55::27 [recv] pos:(5079,13961,0)
21:55::27 [recv] pos:(5079,13961,0)
21:55::28 [recv] pos:(5079,13961,0)
21:55::28 [recv] pos:(5079,13961,0)
21:55::29 [recv] pos:(5079,13961,0)
21:55::29 [recv] pos:(5079,13961,0)
21:55::30 [recv] pos:(5079,13961,0)
21:55::30 [recv] pos:(5079,13961,0)
21:55::31 [recv] pos:(5079,13961,0)
21:55::31 [recv] pos:(5079,13961,0)
21:55::32 [recv] pos:(5079,13961,0)
21:55::32 [recv] pos:(5079,13961,0)
21:55::33 [recv] pos:(5079,13961,0)
21:55::34 [recv] pos:(5079,13961,0)
21:55::34 [recv] pos:(5079,13961,0)
21:55::35 [recv] pos:(5079,13961,0)
21:55::35 [recv] pos:(5079,13961,0)
21:55::36 [recv] pos:(5079,13961,0)
21:55::36 [recv] pos:(5079,13961,0)
21:55::37 [recv] pos:(5079,13961,0)
21:55::37 [recv] pos:(5079,13961,0)
21:55::38 [recv] pos:(5079,13961,0)
21:55::38 [recv] pos:(5079,13961,0)
21:55::39 [recv] pos:(5079,13961,0)
21:55::39 [recv] pos:(5079,13961,0)
21:55::40 [recv] pos:(5079,13961,0)
21:55::40 [recv] pos:(5079,13961,0)
21:55::41 [recv] pos:(5079,13961,0)
21:55::42 [recv] pos:(5079,13961,0)
